"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 31-Mar-2022","30 D % CHNG 
 01-Mar-2023"
"FEDERALBNK","129.70","133.25","129.40","129.10","132.25","3.15","2.44","10,340,913","1,366,448,243.82","143.40","82.50","30.22","-0.79"
"SUNTV","406.00","417.60","405.15","406.15","415.95","9.80","2.41","1,246,008","516,582,456.72","568.50","393.80","-16.56","-5.92"
"DIXON","2,818.10","2,873.95","2,794.50","2,793.55","2,860.00","66.45","2.38","199,449","567,201,044.16","4,690.00","2,553.00","-34.39","-2.99"
"SBICARD","729.15","742.80","726.25","720.15","737.00","16.85","2.34","815,097","599,031,087.24","1,028.65","655.70","-15.06","-0.95"
"ENDURANCE","1,225.00","1,247.95","1,217.55","1,217.50","1,245.95","28.45","2.34","22,233","27,425,294.82","1,565.00","1,047.20","11.14","-2.03"
"JUBLFOOD","431.95","450.00","431.95","430.05","439.90","9.85","2.29","3,084,694","1,368,647,880.86","652.35","412.10","-83.85","-0.27"
"SYNGENE","578.95","601.50","578.05","578.95","592.20","13.25","2.29","600,936","356,895,890.40","683.00","510.05","-0.47","3.11"
"ACC","1,640.00","1,672.00","1,630.00","1,625.90","1,663.00","37.10","2.28","638,264","1,054,233,414.08","2,785.00","1,592.35","-22.49","-7.45"
"CLEAN","1,245.00","1,277.45","1,227.10","1,238.80","1,266.90","28.10","2.27","173,115","216,816,150.60","2,078.85","1,227.10","-37.12","-9.40"
"MCDOWELL-N","743.75","758.25","742.10","740.95","757.50","16.55","2.23","996,821","750,925,195.72","951.80","712.00","-15.91","2.81"
"BIOCON","202.60","208.20","202.30","201.60","206.00","4.40","2.18","3,884,594","800,381,747.76","388.00","191.55","-39.65","-7.67"
"DEEPAKNTR","1,800.50","1,855.00","1,800.50","1,801.95","1,841.00","39.05","2.17","537,251","989,621,714.51","2,391.00","1,681.15","-19.90","0.74"
"DABUR","536.95","548.00","536.95","535.65","547.00","11.35","2.12","1,361,128","738,833,889.68","610.75","482.25","0.45","2.79"
"DALBHARAT","1,935.00","1,979.00","1,930.25","1,928.75","1,969.55","40.80","2.12","387,524","762,554,226.24","1,989.80","1,212.50","28.96","6.64"
"PETRONET","227.00","230.70","224.55","224.55","229.25","4.70","2.09","2,925,256","669,415,583.04","239.80","192.35","15.29","3.13"
"TCS","3,189.95","3,213.00","3,152.00","3,138.90","3,204.00","65.10","2.07","2,382,581","7,599,027,667.21","3,835.60","2,926.10","-14.71","-3.48"
"COROMANDEL","861.05","881.85","861.05","857.65","875.35","17.70","2.06","177,384","155,072,640.48","1,094.00","786.85","10.31","-2.68"
"TATACHEM","959.55","981.05","958.05","954.75","974.40","19.65","2.06","689,153","670,091,028.02","1,214.90","773.35","-1.49","-1.68"
"ASHOKLEY","137.15","139.80","137.00","136.45","139.25","2.80","2.05","5,703,082","791,245,596.68","169.45","113.00","16.83","-4.10"
"TECHM","1,095.00","1,106.00","1,091.45","1,081.10","1,102.80","21.70","2.01","2,281,085","2,506,136,846.10","1,539.55","943.70","-25.91","-0.72"
"VBL","1,370.10","1,394.95","1,365.35","1,357.45","1,384.25","26.80","1.97","1,265,168","1,752,396,848.48","1,432.45","619.33","47.73","3.33"
"TATACONSUM","700.15","711.00","698.55","697.55","711.00","13.45","1.93","972,962","688,438,722.34","861.15","686.60","-10.25","0.21"
"ZFCVINDIA","10,200.05","10,470.00","10,066.05","10,180.50","10,375.00","194.50","1.91","8,069","83,752,346.88","10,924.05","6,876.50","36.67","0.64"
"PEL","670.05","681.00","668.20","665.10","677.45","12.35","1.86","1,446,466","976,017,398.16","2,380.50","630.45","-69.59","-11.25"
"LICHSGFIN","323.80","331.55","323.50","322.55","328.50","5.95","1.84","1,779,112","584,438,292.00","443.60","291.75","-11.69","-7.37"
"OBEROIRLTY","833.00","849.55","832.00","826.95","842.00","15.05","1.82","437,577","367,796,595.81","1,088.95","725.95","-14.50","-3.36"
"BHARATFORG","758.00","772.00","758.00","757.30","771.00","13.70","1.81","613,531","471,087,507.73","919.45","597.00","9.75","-7.54"
"KPRMILL","565.95","582.00","551.10","563.90","573.90","10.00","1.77","171,218","98,433,228.20","710.00","479.45","-7.69","-1.52"
"CONCOR","579.95","584.00","570.35","569.70","579.80","10.10","1.77","582,696","337,823,832.96","828.75","554.00","-14.99","-2.36"
"POLICYBZR","623.00","655.60","621.15","623.85","634.90","11.05","1.77","2,198,965","1,412,835,012.50","825.05","356.20","-12.27","13.74"
"RELAXO","841.20","858.00","832.00","841.20","856.00","14.80","1.76","194,503","164,456,176.56","1,179.15","748.00","-21.52","10.20"
"VINATIORGA","1,798.95","1,825.00","1,762.80","1,778.05","1,808.95","30.90","1.74","39,576","70,779,301.44","2,377.00","1,692.55","-8.55","-2.75"
"AXISBANK","854.90","860.90","847.50","842.60","857.10","14.50","1.72","12,946,752","11,054,713,662.72","970.00","618.25","10.84","1.54"
"HDFCAMC","1,680.00","1,710.30","1,671.10","1,678.05","1,706.70","28.65","1.71","451,449","763,183,563.48","2,480.00","1,589.50","-24.98","-4.65"
"ABFRL","212.05","216.00","211.40","211.15","214.75","3.60","1.70","1,248,974","268,017,330.66","359.50","206.20","-28.55","-9.40"
"HEROMOTOCO","2,314.75","2,356.90","2,314.75","2,304.15","2,343.30","39.15","1.70","302,919","708,370,023.12","2,938.60","2,150.00","4.79","-4.71"
"WIPRO","363.35","365.75","361.30","359.05","365.15","6.10","1.70","3,957,106","1,439,832,589.16","609.50","355.00","-39.31","-5.88"
"BAJAJFINSV","1,252.30","1,270.00","1,250.00","1,246.05","1,267.15","21.10","1.69","1,830,686","2,306,682,666.86","1,844.00","1,072.72","-92.61","-5.73"
"HCLTECH","1,083.40","1,096.90","1,069.40","1,067.50","1,085.45","17.95","1.68","3,131,614","3,404,471,527.82","1,203.00","877.35","-7.22","-1.87"
"NAVINFLUOR","4,218.90","4,276.00","4,208.15","4,197.90","4,267.95","70.05","1.67","104,076","442,637,309.52","4,848.35","3,432.85","5.47","2.09"
"ICICIPRULI","428.00","439.20","426.90","426.50","433.60","7.10","1.66","2,402,348","1,044,300,675.60","608.75","380.70","-14.23","9.35"
"KAJARIACER","1,047.10","1,059.70","1,022.45","1,033.60","1,050.50","16.90","1.64","209,407","218,616,719.86","1,282.65","898.00","5.15","-2.11"
"CHOLAFIN","748.50","764.10","748.50","747.85","760.00","12.15","1.62","1,255,439","951,635,316.39","817.75","600.00","7.57","1.51"
"WHIRLPOOL","1,300.65","1,320.50","1,289.30","1,294.20","1,315.00","20.80","1.61","77,591","101,440,921.58","1,905.00","1,217.25","-18.00","0.33"
"DRREDDY","4,583.00","4,656.50","4,567.85","4,567.80","4,640.00","72.20","1.58","456,497","2,110,951,687.28","4,656.50","3,789.85","8.02","5.29"
"IOC","77.30","78.35","77.20","76.90","78.10","1.20","1.56","9,748,505","758,433,689.00","90.70","65.20","-36.20","-"
"INDHOTEL","320.50","326.80","318.85","319.05","324.00","4.95","1.55","3,928,162","1,270,289,027.56","349.00","207.25","34.81","2.94"
"SCHAEFFLER","2,829.95","2,923.00","2,785.00","2,836.15","2,880.00","43.85","1.55","88,839","252,481,326.39","3,969.85","1,872.25","48.99","-6.43"
"PIDILITIND","2,324.95","2,368.00","2,313.00","2,315.20","2,350.40","35.20","1.52","521,107","1,224,325,263.29","2,918.95","1,988.55","-5.35","1.87"
"ISEC","423.50","431.50","423.50","422.30","428.65","6.35","1.50","331,059","141,640,282.56","652.10","408.40","-30.69","-9.59"
"LALPATHLAB","1,801.00","1,835.00","1,791.05","1,800.05","1,827.00","26.95","1.50","193,567","352,094,501.66","2,878.55","1,762.05","-29.63","-7.72"
"L&TFH","80.95","82.85","80.95","80.80","82.00","1.20","1.49","3,758,549","309,027,898.78","98.30","65.95","-1.20","-8.43"
"JSWSTEEL","679.00","692.50","676.80","678.90","688.75","9.85","1.45","1,447,293","995,216,558.52","790.00","520.05","-6.02","1.93"
"CIPLA","888.80","902.70","886.70","887.70","900.50","12.80","1.44","2,320,879","2,083,012,111.29","1,185.25","852.00","-11.27","1.58"
"HINDPETRO","235.25","238.90","234.65","234.05","237.40","3.35","1.43","1,425,518","337,291,813.98","306.70","200.05","-14.53","8.60"
"POONAWALLA","290.00","294.00","288.60","288.55","292.65","4.10","1.42","1,668,137","487,062,641.26","343.80","209.15","4.61","1.30"
"TATACOMM","1,230.00","1,252.00","1,229.00","1,229.15","1,246.45","17.30","1.41","220,070","273,850,706.60","1,430.60","856.25","0.51","3.68"
"IRCTC","568.30","575.50","567.50","564.50","572.40","7.90","1.40","1,237,105","709,046,730.75","840.95","557.00","-28.24","-5.98"
"OFSS","3,250.00","3,323.80","3,238.10","3,232.90","3,277.65","44.75","1.38","102,810","337,604,393.70","3,750.00","2,883.25","-9.03","3.70"
"UPL","705.00","722.45","705.00","707.40","717.15","9.75","1.38","1,383,231","992,233,093.23","848.00","607.50","-8.18","1.66"
"POWERGRID","224.00","226.75","223.00","222.45","225.50","3.05","1.37","7,651,544","1,723,663,316.88","248.35","186.35","0.29","2.43"
"PERSISTENT","4,581.85","4,650.00","4,533.00","4,541.80","4,604.00","62.20","1.37","591,127","2,706,504,525.85","5,135.00","3,092.05","-2.40","-5.16"
"SUMICHEM","424.30","430.45","416.60","419.35","425.05","5.70","1.36","432,509","182,925,356.46","540.80","394.55","-1.85","-4.87"
"HDFCBANK","1,595.60","1,612.95","1,592.40","1,587.80","1,609.00","21.20","1.34","17,355,614","27,802,825,847.30","1,722.10","1,271.60","6.88","1.58"
"AUROPHARMA","513.95","520.80","510.80","509.65","516.25","6.60","1.30","1,473,003","760,909,159.71","715.00","397.20","-24.07","11.92"
"MSUMI","47.60","48.90","47.20","47.35","47.95","0.60","1.27","5,019,901","240,252,461.86","71.15","40.00","-","-3.98"
"SBIN","520.65","524.90","519.35","516.50","523.00","6.50","1.26","17,356,345","9,061,053,470.70","629.55","430.70","3.06","-1.87"
"BPCL","344.90","346.40","340.95","339.85","344.10","4.25","1.25","5,068,755","1,745,425,784.25","398.80","288.05","-8.04","7.24"
"KANSAINER","382.70","387.85","382.00","382.70","387.45","4.75","1.24","78,713","30,319,460.47","535.90","358.15","-17.67","-5.29"
"NMDC","110.75","112.25","110.60","110.20","111.55","1.35","1.23","6,277,222","700,161,341.88","175.35","92.25","-33.02","-2.06"
"AARTIIND","512.00","526.70","510.65","511.15","517.40","6.25","1.22","1,323,975","685,805,810.25","990.00","482.40","-45.82","-4.00"
"M&M","1,147.60","1,163.00","1,145.85","1,144.30","1,158.00","13.70","1.20","2,343,070","2,706,034,973.70","1,397.00","770.70","40.19","-7.42"
"MARICO","472.20","480.80","471.65","472.25","477.85","5.60","1.19","1,655,647","790,174,087.22","554.35","470.00","-7.42","-3.85"
"BOSCHLTD","18,960.00","19,504.95","18,900.05","18,977.15","19,200.05","222.90","1.17","46,121","890,681,372.64","19,504.95","12,932.45","33.09","6.54"
"BAJAJHLDNG","5,896.10","5,980.00","5,840.15","5,866.75","5,935.00","68.25","1.16","31,478","186,447,971.36","7,378.45","4,294.05","9.65","-5.02"
"HINDUNILVR","2,558.80","2,568.45","2,516.55","2,530.85","2,560.00","29.15","1.15","2,146,167","5,468,583,747.69","2,741.60","1,974.05","23.20","4.28"
"IRFC","26.50","27.30","26.45","26.35","26.65","0.30","1.14","17,209,537","461,903,973.08","37.10","19.30","23.72","-6.67"
"INDUSINDBK","1,063.00","1,076.00","1,060.40","1,057.10","1,069.00","11.90","1.13","3,097,113","3,311,928,757.68","1,275.80","763.20","10.26","-3.09"
"ONGC","150.10","153.00","150.05","149.35","151.00","1.65","1.10","7,998,472","1,211,848,492.72","179.80","119.85","-10.06","-1.95"
"BERGEPAINT","574.00","583.35","570.80","573.25","579.55","6.30","1.10","454,992","263,403,968.64","743.00","527.15","-18.25","-0.18"
"UBL","1,418.30","1,431.25","1,415.00","1,406.70","1,422.00","15.30","1.09","203,026","289,336,413.12","1,806.45","1,380.00","-5.08","-2.28"
"BRITANNIA","4,277.45","4,333.80","4,257.05","4,276.20","4,321.50","45.30","1.06","244,995","1,053,537,298.80","4,669.20","3,090.20","33.79","-1.64"
"ABBOTINDIA","21,766.00","22,160.60","21,703.15","21,770.05","22,000.00","229.95","1.06","9,427","207,467,624.87","22,499.00","16,200.00","26.00","9.80"
"THERMAX","2,272.70","2,326.95","2,254.25","2,261.35","2,285.00","23.65","1.05","30,898","70,935,010.44","2,679.00","1,830.65","17.17","2.96"
"HINDALCO","404.05","410.30","401.10","399.05","403.20","4.15","1.04","7,468,634","3,030,921,049.88","636.00","308.95","-28.95","-1.33"
"HDFCLIFE","497.00","501.20","495.00","495.95","501.00","5.05","1.02","3,459,342","1,723,305,810.72","620.60","457.80","-9.29","3.40"
"SUNDARMFIN","2,277.95","2,313.90","2,253.05","2,277.40","2,300.00","22.60","0.99","128,738","292,228,823.10","2,530.90","1,555.00","18.00","-1.27"
"HAL","2,719.70","2,846.00","2,716.65","2,706.75","2,733.40","26.65","0.98","3,120,877","8,689,270,578.48","2,914.00","1,387.95","79.17","0.76"
"RAMCOCEM","752.00","759.40","743.00","749.65","757.00","7.35","0.98","370,013","278,345,979.38","823.80","575.65","-2.17","4.29"
"JSWENERGY","244.00","250.40","238.10","236.65","238.95","2.30","0.97","2,474,772","606,096,410.52","369.00","182.05","-","5.24"
"DLF","354.35","360.75","354.20","352.55","355.95","3.40","0.96","4,167,504","1,490,799,530.88","418.50","294.70","-7.58","0.39"
"HAVELLS","1,185.60","1,194.40","1,177.80","1,179.60","1,190.80","11.20","0.95","492,712","585,125,062.72","1,405.55","1,024.50","1.31","-0.80"
"BHARTIARTL","752.15","753.00","742.05","743.60","750.50","6.90","0.93","5,796,532","4,341,718,398.64","860.55","628.75","-1.25","1.20"
"NTPC","174.80","177.25","174.60","174.00","175.60","1.60","0.92","8,125,121","1,429,858,793.58","182.95","133.45","22.49","2.52"
"IDFCFIRSTB","54.95","55.60","54.80","54.50","55.00","0.50","0.92","19,857,237","1,097,112,344.25","64.30","28.95","32.01","-0.18"
"COLPAL","1,505.55","1,509.95","1,493.10","1,495.45","1,508.95","13.50","0.90","181,517","272,836,387.53","1,695.95","1,434.60","-2.73","0.65"
"CANBK","283.85","285.85","282.10","281.05","283.50","2.45","0.87","6,938,673","1,971,832,093.14","341.70","171.75","18.55","-2.05"
"TATASTEEL","105.00","105.50","104.10","103.60","104.50","0.90","0.87","34,579,415","3,627,034,839.35","138.67","82.70","-92.07","-0.14"
"DELHIVERY","326.95","343.40","323.10","326.95","329.70","2.75","0.84","1,203,114","398,976,664.68","708.00","291.00","-","-2.68"
"LT","2,156.50","2,176.95","2,150.55","2,147.45","2,165.05","17.60","0.82","1,489,542","3,222,773,071.20","2,297.65","1,456.35","20.90","2.01"
"MFSL","635.35","636.80","625.00","627.50","632.50","5.00","0.80","318,936","201,691,937.04","885.00","604.65","-17.99","-7.51"
"POLYCAB","2,856.75","2,911.85","2,841.05","2,856.45","2,879.00","22.55","0.79","203,707","588,220,259.06","3,143.40","2,043.85","18.25","-6.06"
"SAIL","83.45","84.30","77.60","82.55","83.20","0.65","0.79","20,583,852","1,719,163,319.04","112.35","63.60","-19.04","-4.17"
"SHREECEM","25,835.00","26,425.00","25,750.35","25,804.70","26,000.00","195.30","0.76","42,060","1,101,900,918.60","27,049.00","17,865.20","6.40","-1.47"
"PAYTM","629.50","655.90","624.35","629.35","634.10","4.75","0.75","8,986,663","5,790,196,837.53","844.70","438.35","11.47","5.36"
"ESCORTS","1,884.30","1,914.90","1,881.00","1,874.90","1,888.85","13.95","0.74","159,736","303,190,109.52","2,358.35","1,306.70","11.37","-6.07"
"RAJESHEXPO","606.40","620.60","602.75","606.50","610.95","4.45","0.73","127,092","77,931,543.48","1,029.70","518.50","-11.39","-2.70"
"BATAINDIA","1,408.40","1,433.00","1,408.40","1,406.75","1,417.00","10.25","0.73","220,033","312,721,901.25","2,039.75","1,381.05","-29.04","2.26"
"KOTAKBANK","1,725.50","1,740.65","1,721.00","1,721.05","1,733.50","12.45","0.72","3,565,755","6,178,169,743.20","1,997.55","1,631.00","-2.47","0.65"
"MUTHOOTFIN","968.20","984.10","965.25","974.70","981.40","6.70","0.69","544,235","529,970,600.65","1,384.00","911.25","-27.67","2.63"
"GODREJPROP","1,030.00","1,057.00","1,024.90","1,021.70","1,028.70","7.00","0.69","742,189","770,956,245.64","1,715.15","1,005.00","-39.07","-8.36"
"SOLARINDS","3,781.00","3,836.25","3,701.00","3,779.45","3,805.00","25.55","0.68","41,030","155,394,560.20","4,538.00","2,478.45","32.16","-1.79"
"SHRIRAMFIN","1,253.00","1,281.90","1,253.00","1,251.80","1,260.25","8.45","0.68","897,987","1,139,446,724.43","1,509.00","1,047.10","-","4.12"
"HDFC","2,615.00","2,632.00","2,592.05","2,603.05","2,620.00","16.95","0.65","4,953,387","12,941,268,410.07","2,933.80","2,026.00","7.06","0.86"
"TIMKEN","2,775.00","2,789.90","2,681.40","2,769.60","2,787.10","17.50","0.63","138,593","377,776,799.40","3,758.00","1,713.35","29.35","-4.42"
"EICHERMOT","2,923.10","2,963.35","2,921.00","2,933.70","2,952.00","18.30","0.62","546,110","1,608,785,449.00","3,889.65","2,310.00","18.85","-5.65"
"SUNDRMFAST","970.95","986.55","970.95","970.95","976.95","6.00","0.62","122,818","120,123,373.08","1,033.80","673.05","7.01","-1.06"
"VOLTAS","817.00","822.00","812.15","811.55","816.55","5.00","0.62","816,550","667,823,583.00","1,347.65","737.20","-35.10","-10.94"
"LICI","534.55","546.95","531.10","531.85","535.00","3.15","0.59","2,030,925","1,094,932,595.25","918.95","530.05","-","-11.10"
"APLAPOLLO","1,201.95","1,217.75","1,201.00","1,200.05","1,207.00","6.95","0.58","299,261","361,208,027.00","1,337.90","801.00","28.04","-3.24"
"PFC","151.55","153.55","150.65","151.15","152.00","0.85","0.56","6,181,930","938,293,335.40","170.60","97.10","30.59","0.93"
"PNB","46.70","47.05","46.50","46.30","46.55","0.25","0.54","32,435,561","1,515,065,054.31","62.00","28.05","28.20","-6.33"
"ULTRACEMCO","7,575.10","7,644.30","7,547.05","7,570.75","7,606.35","35.60","0.47","378,456","2,878,324,400.64","7,644.30","5,157.05","14.27","4.57"
"PGHH","13,320.00","13,426.00","13,180.10","13,311.20","13,371.60","60.40","0.45","5,775","76,762,974.75","15,500.00","12,801.00","-7.41","-3.86"
"DEVYANI","144.80","146.45","143.80","143.35","144.00","0.65","0.45","1,365,551","198,086,828.06","215.00","133.95","-16.46","-4.77"
"AMBUJACEM","367.50","370.60","364.00","363.90","365.40","1.50","0.41","5,945,285","2,179,422,575.30","598.00","293.05","19.87","-1.39"
"IGL","428.90","438.95","425.65","437.80","429.50","1.70","0.40","1,585,651","685,318,362.20","455.00","335.35","12.70","-0.60"
"PRESTIGE","404.70","410.75","400.15","400.60","402.00","1.40","0.35","194,652","78,859,364.76","526.45","379.00","-20.16","0.21"
"GODREJIND","405.00","408.20","402.05","402.00","403.40","1.40","0.35","79,559","32,204,687.61","550.00","395.00","-14.07","-3.64"
"FINEORG","4,355.65","4,380.00","4,265.00","4,288.65","4,303.00","14.35","0.33","37,214","161,075,961.18","7,328.75","3,965.15","7.47","-5.17"
"YESBANK","15.00","15.20","14.95","14.95","15.00","0.05","0.33","101,307,931","1,524,684,361.55","24.75","12.10","18.97","-14.00"
"GRASIM","1,635.70","1,651.65","1,628.60","1,631.70","1,636.45","4.75","0.29","780,027","1,278,105,440.58","1,839.50","1,276.60","-2.23","2.14"
"ATGL","888.00","910.00","858.55","871.70","873.80","2.10","0.24","1,196,845","1,055,581,384.65","4,000.00","650.00","-61.42","16.62"
"DIVISLAB","2,834.40","2,840.25","2,810.80","2,820.25","2,827.00","6.75","0.24","362,732","1,023,727,641.64","4,640.80","2,730.00","-35.54","-1.32"
"GODREJCP","966.95","973.00","957.15","966.30","968.05","1.75","0.18","1,023,170","988,044,573.90","973.00","684.35","28.57","6.10"
"INDUSTOWER","143.05","144.95","142.25","142.25","142.50","0.25","0.18","2,991,622","428,998,594.80","230.90","135.15","-35.40","-16.01"
"SRF","2,411.10","2,433.40","2,397.65","2,399.10","2,403.00","3.90","0.16","585,933","1,415,907,094.50","2,865.00","2,002.20","-8.01","7.34"
"COALINDIA","212.20","214.30","211.15","212.95","213.25","0.30","0.14","5,139,018","1,095,998,368.86","263.40","164.65","14.77","-4.13"
"RECLTD","116.00","117.15","115.05","115.75","115.90","0.15","0.13","7,157,701","829,004,929.82","128.45","82.24","-8.99","-0.26"
"SBILIFE","1,100.20","1,112.95","1,097.25","1,098.70","1,100.00","1.30","0.12","959,958","1,060,302,409.74","1,340.35","1,033.20","-1.10","0.09"
"ITC","382.00","384.50","380.00","382.75","383.20","0.45","0.12","9,511,189","3,640,883,149.20","394.00","248.65","51.40","2.12"
"HAPPSTMNDS","770.00","784.80","765.90","766.10","767.00","0.90","0.12","397,406","307,083,564.32","1,179.40","763.25","-29.19","-9.68"
"TATAELXSI","5,985.85","6,039.95","5,946.00","5,956.05","5,962.00","5.95","0.10","134,855","807,672,217.45","10,760.00","5,709.05","-33.14","-3.11"
